Time,month,month_sin,month_cos,TX01,WD01,PP01,previous1hr_wl,waterlevel,next1hr_wl
2014/1/1 01:00,1,0.5,0.866,13.8,0.9,0,32.37,32.37,32.37
2014/1/1 02:00,1,0.5,0.866,13.7,0.7,0,32.37,32.37,32.37
2014/1/1 03:00,1,0.5,0.866,13.56666667,0.7,0,32.37,32.37,32.36
2014/1/1 04:00,1,0.5,0.866,13.43333333,0.7,0,32.37,32.36,32.36
2014/1/1 05:00,1,0.5,0.866,13.3,0.7,0,32.36,32.36,32.36
2014/1/1 06:00,1,0.5,0.866,13.4,0.9,0,32.36,32.36,32.36
2014/1/1 07:00,1,0.5,0.866,15.8,0.8,0,32.36,32.36,32.35
2014/1/1 08:00,1,0.5,0.866,19.5,0.9,0,32.36,32.35,32.35
2014/1/1 09:00,1,0.5,0.866,22.1,1.9,0,32.35,32.35,32.36
2014/1/1 10:00,1,0.5,0.866,24.6,0.7,0,32.35,32.36,32.36
2014/1/1 11:00,1,0.5,0.866,25.2,1.4,0,32.36,32.36,32.37
2014/1/1 12:00,1,0.5,0.866,26,1.6,0,32.36,32.37,32.37
2014/1/1 13:00,1,0.5,0.866,25.4,2.2,0,32.37,32.37,32.37
2014/1/1 14:00,1,0.5,0.866,25.5,1.9,0,32.37,32.37,32.37
2014/1/1 15:00,1,0.5,0.866,25.2,2.1,0,32.37,32.37,32.36
2014/1/1 16:00,1,0.5,0.866,23.8,2.1,0,32.37,32.36,32.36
2014/1/1 17:00,1,0.5,0.866,22.1,0.4,0,32.36,32.36,32.36
2014/1/1 18:00,1,0.5,0.866,21.4,0.7,0,32.36,32.36,32.36
2014/1/1 19:00,1,0.5,0.866,19.9,1,0,32.36,32.36,32.35
2014/1/1 20:00,1,0.5,0.866,19.1,0.8,0,32.36,32.35,32.35
2014/1/1 21:00,1,0.5,0.866,17.7,0.7,0,32.35,32.35,32.35
2014/1/1 22:00,1,0.5,0.866,16.7,1.3,0,32.35,32.35,32.35
2014/1/1 23:00,1,0.5,0.866,15.8,1.1,0,32.35,32.35,32.34
2014/1/2 00:00,1,0.5,0.866,15.3,0.9,0,32.35,32.34,32.34
2014/1/2 01:00,1,0.5,0.866,15,0.7,0,32.34,32.34,32.35
2014/1/2 02:00,1,0.5,0.866,14.7,0.8,0,32.34,32.35,32.34
2014/1/2 03:00,1,0.5,0.866,14.6,0.4,0,32.35,32.34,32.34
2014/1/2 04:00,1,0.5,0.866,14.3,0.6,0,32.34,32.34,32.34
2014/1/2 05:00,1,0.5,0.866,14,0.8,0,32.34,32.34,32.34
2014/1/2 06:00,1,0.5,0.866,13.8,1.2,0,32.34,32.34,32.34
2014/1/2 07:00,1,0.5,0.866,15.8,1,0,32.34,32.34,32.33
2014/1/2 08:00,1,0.5,0.866,19.5,0.7,0,32.34,32.33,32.33
2014/1/2 09:00,1,0.5,0.866,22.4,1,0,32.33,32.33,32.33
2014/1/2 10:00,1,0.5,0.866,24.8,1.3,0,32.33,32.33,32.34
2014/1/2 11:00,1,0.5,0.866,24.9,1.4,0,32.33,32.34,32.34
2014/1/2 12:00,1,0.5,0.866,26.6,1.2,0,32.34,32.34,32.35
2014/1/2 13:00,1,0.5,0.866,26.7,1.1,0,32.34,32.35,32.35
2014/1/2 14:00,1,0.5,0.866,27.1,1.3,0,32.35,32.35,32.35
2014/1/2 15:00,1,0.5,0.866,26.4,1.5,0,32.35,32.35,32.35
2014/1/2 16:00,1,0.5,0.866,24.5,1.3,0,32.35,32.35,32.34
2014/1/2 17:00,1,0.5,0.866,23.4,1.3,0,32.35,32.34,32.34
2014/1/2 18:00,1,0.5,0.866,22.6,0.5,0,32.34,32.34,32.34
2014/1/2 19:00,1,0.5,0.866,21.9,1.1,0,32.34,32.34,32.34
